league,model,matches,log_loss,brier_score,rps
belgium,market_plus_player_form,267,0.999231937212587,0.5988940439893673,0.2055312251286555
belgium,recalibrated_market,267,0.9929890281187952,0.5947334186631068,0.203507939657153
netherlands,market_plus_player_form,255,0.9832717321714396,0.5863687409383557,0.1965550869556016
netherlands,recalibrated_market,255,0.984346088270548,0.5860114767032816,0.1966794035484824
portugal,market_plus_player_form,211,0.9032692687935224,0.5374435496624869,0.1710043894940623
portugal,recalibrated_market,211,0.9073546779670214,0.5385964614169765,0.1713321557615529
scotland,market_plus_player_form,184,0.9632596188923904,0.5716476520570544,0.1895999941017123
scotland,recalibrated_market,184,0.959587942761797,0.5707511672289435,0.1890972653590917
turkey,market_plus_player_form,246,0.9411907438637864,0.5602857441101896,0.1815641586258803
turkey,recalibrated_market,246,0.9391213463178598,0.5585596469641309,0.1812444726460089
