comparison,training_scope,baseline_model,enhanced_model,weighting,metric,league,matches,leagues,observed_baseline,observed_enhanced,observed_absolute_improvement,observed_relative_improvement_pct,lower_95_absolute,upper_95_absolute,lower_95_relative_pct,upper_95_relative_pct,samples_favouring_enhanced_pct,interval_excludes_zero,repetitions,seed
Pooled players versus recalibrated market,pooled,recalibrated_market,market_plus_player_form,match_weighted,log_loss,belgium,267,1,0.9929890281187957,0.9992319372125874,-0.0062429090937916615,-0.6286986982745185,-0.013935760480812283,0.0013475792765464836,-1.3860968371881015,0.1372339244541194,5.48,False,10000,42
Pooled players versus recalibrated market,pooled,recalibrated_market,market_plus_player_form,match_weighted,brier_score,belgium,267,1,0.5947334186631069,0.5988940439893674,-0.004160625326260451,-0.6995781968353256,-0.009532860226109668,0.0010941432009858743,-1.5776378734669194,0.1874284468608874,6.4,False,10000,42
Pooled players versus recalibrated market,pooled,recalibrated_market,market_plus_player_form,match_weighted,rps,belgium,267,1,0.203507939657153,0.20553122512865551,-0.0020232854715025034,-0.994204685532714,-0.004591296052632456,0.00047635725975233624,-2.207179399048679,0.233797092436153,5.970000000000001,False,10000,42
Pooled players versus recalibrated market,pooled,recalibrated_market,market_plus_player_form,match_weighted,log_loss,netherlands,255,1,0.984346088270548,0.9832717321714398,0.001074356099108214,0.10914414268621818,-0.006706913815864479,0.008382819851626429,-0.6843420228528982,0.844922402324915,60.79,False,10000,43
Pooled players versus recalibrated market,pooled,recalibrated_market,market_plus_player_form,match_weighted,brier_score,netherlands,255,1,0.5860114767032816,0.5863687409383557,-0.00035726423507404523,-0.06096539901981148,-0.005831869901874506,0.0048192563735599304,-1.0067355745581024,0.8193235378927991,44.71,False,10000,43
Pooled players versus recalibrated market,pooled,recalibrated_market,market_plus_player_form,match_weighted,rps,netherlands,255,1,0.19667940354848246,0.19655508695560167,0.0001243165928807895,0.06320773331516882,-0.0023954211427256586,0.002459709515642129,-1.2617012471845168,1.2314086546649594,54.83,False,10000,43
Pooled players versus recalibrated market,pooled,recalibrated_market,market_plus_player_form,match_weighted,log_loss,portugal,211,1,0.9073546779670215,0.9032692687935227,0.004085409173498889,0.45025493037105124,-0.003654642230398393,0.012111800620511079,-0.40620285411469176,1.3138260864868467,84.52,False,10000,44
Pooled players versus recalibrated market,pooled,recalibrated_market,market_plus_player_form,match_weighted,brier_score,portugal,211,1,0.5385964614169765,0.5374435496624869,0.001152911754489582,0.21405854606924504,-0.00386851684890164,0.006217638014755327,-0.7228020485924765,1.1412414519506298,66.38,False,10000,44
Pooled players versus recalibrated market,pooled,recalibrated_market,market_plus_player_form,match_weighted,rps,portugal,211,1,0.17133215576155297,0.17100438949406235,0.00032776626749062894,0.19130458379732815,-0.0018616804565542567,0.002555439383661892,-1.0875243647686705,1.4874179592756234,59.67,False,10000,44
Pooled players versus recalibrated market,pooled,recalibrated_market,market_plus_player_form,match_weighted,log_loss,scotland,184,1,0.959587942761797,0.9632596188923904,-0.0036716761305934085,-0.3826304986727877,-0.012634738979478791,0.005005016788584784,-1.3104101975194582,0.5280591874500182,20.810000000000002,False,10000,45
Pooled players versus recalibrated market,pooled,recalibrated_market,market_plus_player_form,match_weighted,brier_score,scotland,184,1,0.5707511672289435,0.5716476520570544,-0.0008964848281108576,-0.1570710459451857,-0.0066061580478319675,0.004641842870208587,-1.1820982769658517,0.7915134730543124,38.24,False,10000,45
Pooled players versus recalibrated market,pooled,recalibrated_market,market_plus_player_form,match_weighted,rps,scotland,184,1,0.18909726535909172,0.18959999410171235,-0.0005027287426206426,-0.2658572252041675,-0.0031408837100687223,0.0020090435118333794,-1.6215552475511177,1.0985422454245075,35.69,False,10000,45
Pooled players versus recalibrated market,pooled,recalibrated_market,market_plus_player_form,match_weighted,log_loss,turkey,246,1,0.9391213463178599,0.9411907438637868,-0.0020693975459268204,-0.22035464895357637,-0.009938929748393296,0.006195601049314444,-1.0587222117195,0.6711286843360407,31.080000000000002,False,10000,46
Pooled players versus recalibrated market,pooled,recalibrated_market,market_plus_player_form,match_weighted,brier_score,turkey,246,1,0.558559646964131,0.5602857441101896,-0.001726097146058675,-0.30902646752953133,-0.007183135621436673,0.00403257089091097,-1.276107556458598,0.7402843052371736,27.98,False,10000,46
Pooled players versus recalibrated market,pooled,recalibrated_market,market_plus_player_form,match_weighted,rps,turkey,246,1,0.18124447264600893,0.1815641586258803,-0.00031968597987135837,-0.17638385061029777,-0.002660638952079361,0.0021575257171951626,-1.4813640079864887,1.2035840676605165,39.31,False,10000,46
