model,model_label,feature_set,base_feature_count,model_column_count,mean_log_loss,worst_fold_log_loss,fold_log_loss_std,mean_brier_score,removed_group,selected_feature_set,log_loss_difference_from_selected
player_form_logistic,Pooled player-form logistic,selected_full,9,13,0.949566353743026,0.9809288910356644,0.022438748535214877,0.5585295999961797,none,final_player_form_logistic,0.0
player_form_logistic,Pooled player-form logistic,without_legacy_player_form,8,12,0.9555261122612113,0.9806905627624503,0.018091365845284927,0.5623122629222028,legacy_player_form,final_player_form_logistic,0.00595975851818531
player_form_logistic,Pooled player-form logistic,without_team_strength,2,6,0.9985344936841448,1.021011005768384,0.01634584618765965,0.5944131181200182,team_strength,final_player_form_logistic,0.048968139941118816
player_form_logistic,Pooled player-form logistic,without_opponent_adjusted_form,8,12,0.9503903724168719,0.983004284616866,0.023336709440882845,0.5588096720280513,opponent_adjusted_form,final_player_form_logistic,0.0008240186738458499
market_plus_player_form,Pooled market + player-form logistic,selected_full,7,11,0.9241552382808311,0.943279486677411,0.014156429479695545,0.5436855371248643,none,final_market_plus_player_form,0.0
player_form_lightgbm,Pooled player-form LightGBM,selected_full,15,19,0.948893265335951,0.9828790718087536,0.02429751237280589,0.5603497024316775,none,final_player_form_lightgbm,0.0
player_form_lightgbm,Pooled player-form LightGBM,without_legacy_player_form,8,12,0.9540299617036716,0.983289027516838,0.021233087088440433,0.5632093100620671,legacy_player_form,final_player_form_lightgbm,0.005136696367720628
player_form_lightgbm,Pooled player-form LightGBM,without_team_strength,7,11,0.993569615794291,1.011771709991104,0.013141523539010927,0.5921524980165458,team_strength,final_player_form_lightgbm,0.044676350458340064
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,selected_full,9,22,0.939919303276425,0.970534307521308,0.02193952923293367,0.5547868965864209,none,final_expanded_player_form_lightgbm,0.0
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_legacy_player_form,8,20,0.944343482406567,0.9704498841171836,0.01866327391538848,0.5579431245013293,legacy_player_form,final_expanded_player_form_lightgbm,0.004424179130141925
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_team_strength,2,8,0.9970932190241057,1.0141949442165594,0.012228248145751047,0.5939667754047587,team_strength,final_expanded_player_form_lightgbm,0.057173915747680715
expanded_player_form_lightgbm,Pooled expanded player-form LightGBM,without_opponent_adjusted_form,8,20,0.941019204176315,0.9693698761670504,0.02031487459390178,0.555519016396669,opponent_adjusted_form,final_expanded_player_form_lightgbm,0.0010999008998899829
