model,seed,step,action,feature,feature_count,mean_log_loss,accepted
player_form_logistic,team_strength,1,add,key_passes_per90_sum_5,9,0.9518213471110789,True
player_form_logistic,team_strength,1,add,key_passes_per90_lineup_mean_3,9,0.9530353034253556,False
player_form_logistic,team_strength,1,add,adjusted_key_passes_lineup_mean_5,9,0.953734618551499,False
player_form_logistic,team_strength,1,add,key_passes_per90_lineup_mean_ewm,9,0.9543647154223184,False
player_form_logistic,team_strength,1,add,adjusted_key_passes_lineup_mean_3,9,0.95450228377123,False
player_form_logistic,team_strength,1,add,shots_per90_sum_5,9,0.9549969637921121,False
player_form_logistic,team_strength,1,add,adjusted_key_passes_lineup_mean_ewm,9,0.95514062444174,False
player_form_logistic,team_strength,1,add,shots_per90_lineup_mean_3,9,0.9553212748777983,False
player_form_logistic,team_strength,1,add,mid_adjusted_key_passes_5,9,0.9556365236054011,False
player_form_logistic,team_strength,1,add,shots_per90_lineup_mean_ewm,9,0.9559556625562453,False
player_form_logistic,team_strength,1,add,adjusted_key_passes_lineup_mean_1,9,0.956092086507162,False
player_form_logistic,team_strength,1,remove,prior_team_matches,7,0.9561298516335686,False
player_form_logistic,team_strength,1,add,key_passes_per90_lineup_mean_1,9,0.9562785339442916,False
player_form_logistic,team_strength,1,add,adjusted_shots_lineup_mean_1,9,0.9563535570326205,False
player_form_logistic,team_strength,1,add,shots_per90_lineup_mean_1,9,0.9564624833212269,False
player_form_logistic,team_strength,1,add,adjusted_shots_lineup_mean_ewm,9,0.9565946169139103,False
player_form_logistic,team_strength,1,add,adjusted_shots_lineup_mean_5,9,0.9566906145494098,False
player_form_logistic,team_strength,1,add,adjusted_shots_lineup_mean_3,9,0.9567597331624684,False
player_form_logistic,team_strength,1,add,rating_mean_5,9,0.9568232854069239,False
player_form_logistic,team_strength,1,remove,elo_expected_result,7,0.9568606874196952,False
player_form_logistic,team_strength,1,add,adjusted_key_passes_lineup_std_across_starters_5,9,0.9568930644090844,False
player_form_logistic,team_strength,1,add,rating_lineup_mean_ewm,9,0.9569564257774745,False
player_form_logistic,team_strength,1,add,adjusted_key_passes_lineup_mean_std_5,9,0.957058821786708,False
player_form_logistic,team_strength,1,remove,expected_goals_strength,7,0.9571132203676087,False
player_form_logistic,team_strength,1,add,rating_lineup_max_5,9,0.9571291621608926,False
player_form_logistic,team_strength,1,add,adjusted_defensive_actions_lineup_mean_5,9,0.9571886363855072,False
player_form_logistic,team_strength,1,add,rating_lineup_top3_mean_5,9,0.9572034082088918,False
player_form_logistic,team_strength,1,add,gk_saves_per90_5,9,0.9572279581121301,False
player_form_logistic,team_strength,1,add,new_player_pairs,9,0.9572509028401412,False
player_form_logistic,team_strength,1,add,rating_lineup_mean_3,9,0.9572826719455382,False
player_form_logistic,team_strength,1,add,mean_pairwise_prior_minutes,9,0.9573444307643204,False
player_form_logistic,team_strength,1,remove,attack_goal_rate_ewm,7,0.9573544732529891,False
player_form_logistic,team_strength,1,add,mean_pairwise_prior_starts,9,0.9573889536315446,False
player_form_logistic,team_strength,1,add,rating_lineup_mean_trend_1_5,9,0.9574497221088125,False
player_form_logistic,team_strength,1,add,mid_rating_mean_5,9,0.9574693517449857,False
player_form_logistic,team_strength,1,add,defensive_actions_per90_sum_5,9,0.9574805117928309,False
player_form_logistic,team_strength,1,add,adjusted_shots_lineup_mean_std_5,9,0.9575158271446431,False
player_form_logistic,team_strength,1,remove,defence_goal_rate_ewm,7,0.9575721338409439,False
player_form_logistic,team_strength,1,add,rating_lineup_std_across_starters_5,9,0.9576144313893467,False
player_form_logistic,team_strength,1,add,fwd_rating_mean_5,9,0.9576191246396707,False
player_form_logistic,team_strength,1,add,adjusted_shots_lineup_mean_trend_1_5,9,0.957649392715425,False
player_form_logistic,team_strength,1,remove,elo_rating,7,0.9576806444528405,False
player_form_logistic,team_strength,1,remove,opponent_elo_rating,7,0.9576806444528405,False
player_form_logistic,team_strength,1,remove,elo_difference,7,0.9576806444528407,False
player_form_logistic,team_strength,1,add,rating_lineup_min_5,9,0.9576892428640444,False
