model,league,metric,uncalibrated_score,calibrated_score,calibration_improvement
recalibrated_market,belgium,log_loss,0.9874616533568776,0.9897674150439836,-0.0023057616871060447
recalibrated_market,belgium,brier_score,0.5879592898941135,0.5893189272183318,-0.0013596373242182296
recalibrated_market,belgium,rps,0.1956053127534181,0.19600740410060868,-0.00040209134719058323
recalibrated_market,netherlands,log_loss,0.9145913908541541,0.9167735260363211,-0.0021821351821670974
recalibrated_market,netherlands,brier_score,0.5424827213976393,0.5440866667649525,-0.0016039453673132623
recalibrated_market,netherlands,rps,0.17895723095488042,0.1794475447996659,-0.0004903138447854698
recalibrated_market,portugal,log_loss,0.9062781352033206,0.9075350284643378,-0.0012568932610172324
recalibrated_market,portugal,brier_score,0.5324786736181355,0.5329395077138521,-0.00046083409571651704
recalibrated_market,portugal,rps,0.18081972968561472,0.18106484878553372,-0.0002451190999190145
recalibrated_market,scotland,log_loss,0.9467612867293832,0.951589478921995,-0.004828192192611771
recalibrated_market,scotland,brier_score,0.5549146915549725,0.5566824184889854,-0.0017677269340128452
recalibrated_market,scotland,rps,0.19039610118394257,0.19119036849033644,-0.0007942673063938843
recalibrated_market,turkey,log_loss,0.9018368589902235,0.8991600661040849,0.002676792886138582
recalibrated_market,turkey,brier_score,0.528576483041392,0.5267607063638401,0.0018157766775519853
recalibrated_market,turkey,rps,0.17565518116396764,0.17475390765482055,0.0009012735091471113
market_plus_player_form,belgium,log_loss,0.9867990082373809,0.9897508586453562,-0.002951850407975283
market_plus_player_form,belgium,brier_score,0.5883263305588532,0.5902044130981082,-0.0018780825392549615
market_plus_player_form,belgium,rps,0.19566528523350815,0.1962480167036728,-0.0005827314701646314
market_plus_player_form,netherlands,log_loss,0.9184534464799127,0.921164157063943,-0.0027107105840302424
market_plus_player_form,netherlands,brier_score,0.5441238198657469,0.5459115684319594,-0.00178774856621256
market_plus_player_form,netherlands,rps,0.17957499222672774,0.18010749396464273,-0.0005325017379149808
market_plus_player_form,portugal,log_loss,0.8982206362967575,0.8993146563065947,-0.0010940200098371684
market_plus_player_form,portugal,brier_score,0.5284964856369971,0.5289278856708771,-0.0004314000338799757
market_plus_player_form,portugal,rps,0.1787279761818372,0.17895662807505203,-0.00022865189321484962
market_plus_player_form,scotland,log_loss,0.9481065951485912,0.9544964652967235,-0.006389870148132323
market_plus_player_form,scotland,brier_score,0.5551275714576824,0.557402329542448,-0.0022747580847656186
market_plus_player_form,scotland,rps,0.19011978666281193,0.19109682623424268,-0.0009770395714307526
market_plus_player_form,turkey,log_loss,0.9029465393483906,0.9003007796345429,0.002645759713847612
market_plus_player_form,turkey,brier_score,0.5292459715451191,0.527446402926228,0.0017995686188910776
market_plus_player_form,turkey,rps,0.1755986981416761,0.17464673124568844,0.0009519668959876682
