probability_version,comparison,priority,training_scope,baseline_model,enhanced_model,weighting,league,metric,matches,leagues,observed_baseline,observed_enhanced,observed_absolute_improvement,observed_relative_improvement_pct,lower_95_absolute,upper_95_absolute,lower_95_relative_pct,upper_95_relative_pct,samples_favouring_enhanced_pct,interval_excludes_zero,repetitions,seed
uncalibrated,Pooled players versus recalibrated market,primary,pooled,recalibrated_market,market_plus_player_form,match_weighted,belgium,log_loss,925,1,0.9802284539154433,0.9784516071022828,0.0017768468131604963,0.18126864263764486,-0.0034238158811017287,0.006878628039815978,-0.34802366723139727,0.7060355593891793,74.77000000000001,False,10000,72
uncalibrated,Pooled players versus recalibrated market,primary,pooled,recalibrated_market,market_plus_player_form,match_weighted,belgium,brier_score,925,1,0.582564688262003,0.5822244729463805,0.00034021531562252935,0.05839957733063297,-0.00328728906378016,0.003800946890478587,-0.5628209113143728,0.6567711630654555,58.53,False,10000,72
uncalibrated,Pooled players versus recalibrated market,primary,pooled,recalibrated_market,market_plus_player_form,match_weighted,netherlands,log_loss,897,1,0.9112444485249738,0.9152620462652704,-0.004017597740296682,-0.4408913268881851,-0.008937147176741938,0.001021063265115942,-0.9804431356784095,0.11222067612256797,5.71,False,10000,73
uncalibrated,Pooled players versus recalibrated market,primary,pooled,recalibrated_market,market_plus_player_form,match_weighted,netherlands,brier_score,897,1,0.5399248576792544,0.5420802170917272,-0.0021553594124728258,-0.39919618106437144,-0.005271868460888637,0.0010616748520445472,-0.9797252860611644,0.1972514641039871,8.92,False,10000,73
uncalibrated,Pooled players versus recalibrated market,primary,pooled,recalibrated_market,market_plus_player_form,match_weighted,portugal,log_loss,523,1,0.8907764413513444,0.884042732478634,0.006733708872710392,0.7559370185514875,0.001223941387474154,0.012239615124261253,0.13627487362934057,1.3619734875057772,99.19,True,10000,74
uncalibrated,Pooled players versus recalibrated market,primary,pooled,recalibrated_market,market_plus_player_form,match_weighted,portugal,brier_score,523,1,0.5196259503206038,0.5158070906013746,0.0038188597192291484,0.7349247505581566,0.0004883319223907647,0.007103485427732819,0.09556272733469756,1.3558858704761736,98.64,True,10000,74
uncalibrated,Pooled players versus recalibrated market,primary,pooled,recalibrated_market,market_plus_player_form,match_weighted,scotland,log_loss,665,1,0.9213608022738152,0.9221099214469238,-0.0007491191731085505,-0.08130573508877395,-0.005946311456247068,0.004254590658750568,-0.6402016103998126,0.46175131971379313,39.22,False,10000,75
uncalibrated,Pooled players versus recalibrated market,primary,pooled,recalibrated_market,market_plus_player_form,match_weighted,scotland,brier_score,665,1,0.5389757707652919,0.5392389373484101,-0.00026316658311817805,-0.048827163926962375,-0.003781351722952969,0.0030371679535190197,-0.6990404197407833,0.5672392368607094,43.66,False,10000,75
uncalibrated,Pooled players versus recalibrated market,primary,pooled,recalibrated_market,market_plus_player_form,match_weighted,turkey,log_loss,885,1,0.9203972770839516,0.919584386093802,0.0008128909901496385,0.08831957790282477,-0.00426778927276206,0.005426748821694272,-0.4625563581490393,0.588266494881949,64.01,False,10000,76
uncalibrated,Pooled players versus recalibrated market,primary,pooled,recalibrated_market,market_plus_player_form,match_weighted,turkey,brier_score,885,1,0.5407729301218116,0.5399884883032748,0.0007844418185367761,0.14505937239870292,-0.002355460438834445,0.003762217637733861,-0.4363235393861139,0.6956452024016289,69.86,False,10000,76
