model,feature
player_form_logistic,elo_rating
player_form_logistic,opponent_elo_rating
player_form_logistic,elo_difference
player_form_logistic,defence_goal_rate_ewm
player_form_logistic,expected_goals_strength
player_form_logistic,key_passes_per90_sum_5
player_form_logistic,adjusted_defensive_actions_lineup_mean_5
player_form_logistic,adjusted_key_passes_lineup_std_across_starters_5
market_plus_player_form,key_passes_per90_sum_5
market_plus_player_form,shots_per90_sum_5
market_plus_player_form,defensive_actions_per90_sum_5
market_plus_player_form,rating_mean_5
market_plus_player_form,expected_goals_strength
player_form_lightgbm,key_passes_per90_sum_5
player_form_lightgbm,shots_per90_sum_5
player_form_lightgbm,defensive_actions_per90_sum_5
player_form_lightgbm,recent_minutes_sum_5
player_form_lightgbm,rating_mean_5
player_form_lightgbm,starters_without_history
player_form_lightgbm,starters_without_full_window
player_form_lightgbm,elo_rating
player_form_lightgbm,opponent_elo_rating
player_form_lightgbm,elo_difference
player_form_lightgbm,elo_expected_result
player_form_lightgbm,prior_team_matches
player_form_lightgbm,attack_goal_rate_ewm
player_form_lightgbm,defence_goal_rate_ewm
player_form_lightgbm,expected_goals_strength
player_form_lightgbm,key_passes_per90_lineup_mean_ewm
player_form_lightgbm,adjusted_defensive_actions_lineup_mean_1
player_form_lightgbm,rating_lineup_mean_3
player_form_lightgbm,adjusted_rating_lineup_std_across_starters_5
expanded_player_form_lightgbm,elo_rating
expanded_player_form_lightgbm,opponent_elo_rating
expanded_player_form_lightgbm,elo_difference
expanded_player_form_lightgbm,elo_expected_result
expanded_player_form_lightgbm,prior_team_matches
expanded_player_form_lightgbm,attack_goal_rate_ewm
expanded_player_form_lightgbm,key_passes_per90_sum_5
expanded_player_form_lightgbm,adjusted_key_passes_lineup_mean_1
expanded_player_form_lightgbm,gk_saves_per90_5
expanded_player_form_lightgbm,adjusted_key_passes_lineup_mean_ewm
