feature_signature,feature_set,league,validation_season,train_seasons,train_matches,validation_matches,base_feature_count,log_loss,brier_score,accuracy,baseline_log_loss,baseline_brier_score,log_loss_delta,brier_delta,selected_groups
defensive_actions_per90_sum_5|key_passes_per90_sum_5|rating_mean_5|recent_minutes_sum_5|shots_per90_sum_5|starters_without_full_window|starters_without_history,legacy_player_form,belgium,2022-23,2020-21;2021-22,569,304,7,0.9721716519508083,0.5763469264294937,0.5197368421052632,0.9758098098409258,0.5785987465121714,-0.0036381578901173,-0.0022518200826776,legacy_player_form
defensive_actions_per90_sum_5|key_passes_per90_sum_5|rating_mean_5|recent_minutes_sum_5|shots_per90_sum_5|starters_without_full_window|starters_without_history,legacy_player_form,netherlands,2022-23,2020-21;2021-22,562,288,7,0.968962203338972,0.5777002347159548,0.5555555555555556,0.9424312896770636,0.55917490524905,0.0265309136619082,0.0185253294669047,legacy_player_form
defensive_actions_per90_sum_5|key_passes_per90_sum_5|rating_mean_5|recent_minutes_sum_5|shots_per90_sum_5|starters_without_full_window|starters_without_history,legacy_player_form,portugal,2022-23,2020-21;2021-22,477,240,7,0.9187561681564252,0.5362316224248395,0.575,0.9264125568843918,0.5413254644388367,-0.0076563887279665,-0.0050938420139972,legacy_player_form
defensive_actions_per90_sum_5|key_passes_per90_sum_5|rating_mean_5|recent_minutes_sum_5|shots_per90_sum_5|starters_without_full_window|starters_without_history,legacy_player_form,scotland,2022-23,2020-21;2021-22,456,226,7,0.8929752093212181,0.5214507124279674,0.6017699115044248,0.8922513432577722,0.5209108259524217,0.0007238660634458,0.0005398864755457,legacy_player_form
defensive_actions_per90_sum_5|key_passes_per90_sum_5|rating_mean_5|recent_minutes_sum_5|shots_per90_sum_5|starters_without_full_window|starters_without_history,legacy_player_form,turkey,2022-23,2020-21;2021-22,679,277,7,0.9892536597503784,0.5892493672179162,0.5342960288808665,1.0109009899979695,0.6040234982906969,-0.0216473302475914,-0.0147741310727806,legacy_player_form
defensive_actions_per90_sum_5|key_passes_per90_sum_5|rating_mean_5|recent_minutes_sum_5|shots_per90_sum_5|starters_without_full_window|starters_without_history,legacy_player_form,belgium,2023-24,2020-21;2021-22;2022-23,873,312,7,0.997591069422781,0.5940639434400458,0.5352564102564102,1.001390265479822,0.5968977069661953,-0.0037991960570411,-0.0028337635261495,legacy_player_form
defensive_actions_per90_sum_5|key_passes_per90_sum_5|rating_mean_5|recent_minutes_sum_5|shots_per90_sum_5|starters_without_full_window|starters_without_history,legacy_player_form,netherlands,2023-24,2020-21;2021-22;2022-23,850,306,7,0.9209201557593608,0.5433819705269209,0.565359477124183,0.9362458767235576,0.5558519147774328,-0.0153257209641969,-0.0124699442505118,legacy_player_form
defensive_actions_per90_sum_5|key_passes_per90_sum_5|rating_mean_5|recent_minutes_sum_5|shots_per90_sum_5|starters_without_full_window|starters_without_history,legacy_player_form,portugal,2023-24,2020-21;2021-22;2022-23,717,64,7,0.8462008207303547,0.4914751384262552,0.640625,0.8504730910418652,0.4909985983368065,-0.0042722703115104,0.0004765400894486,legacy_player_form
defensive_actions_per90_sum_5|key_passes_per90_sum_5|rating_mean_5|recent_minutes_sum_5|shots_per90_sum_5|starters_without_full_window|starters_without_history,legacy_player_form,scotland,2023-24,2020-21;2021-22;2022-23,682,212,7,0.9527237201668098,0.56237131012963,0.5518867924528302,0.9470891943684686,0.5599571691785574,0.0056345257983412,0.0024141409510726,legacy_player_form
defensive_actions_per90_sum_5|key_passes_per90_sum_5|rating_mean_5|recent_minutes_sum_5|shots_per90_sum_5|starters_without_full_window|starters_without_history,legacy_player_form,turkey,2023-24,2020-21;2021-22;2022-23,956,339,7,0.999133337267147,0.5883434030050858,0.5162241887905604,0.9877503766288128,0.5866877376266167,0.0113829606383341,0.001655665378469,legacy_player_form
defensive_actions_per90_sum_5|key_passes_per90_sum_5|rating_mean_5|recent_minutes_sum_5|shots_per90_sum_5|starters_without_full_window|starters_without_history,legacy_player_form,belgium,2024-25,2020-21;2021-22;2022-23;2023-24,1185,309,7,1.0409397500665056,0.6202644297232305,0.4951456310679611,1.0210319063819453,0.6110196844727422,0.0199078436845603,0.0092447452504882,legacy_player_form
defensive_actions_per90_sum_5|key_passes_per90_sum_5|rating_mean_5|recent_minutes_sum_5|shots_per90_sum_5|starters_without_full_window|starters_without_history,legacy_player_form,netherlands,2024-25,2020-21;2021-22;2022-23;2023-24,1156,303,7,0.9933270413254558,0.5932598936516824,0.5346534653465347,0.9733297625102274,0.5815499995050698,0.0199972788152283,0.0117098941466126,legacy_player_form
defensive_actions_per90_sum_5|key_passes_per90_sum_5|rating_mean_5|recent_minutes_sum_5|shots_per90_sum_5|starters_without_full_window|starters_without_history,legacy_player_form,portugal,2024-25,2020-21;2021-22;2022-23;2023-24,781,219,7,0.9796138762168172,0.5822797513291189,0.502283105022831,0.9784602195399044,0.5819002973102524,0.0011536566769129,0.0003794540188665,legacy_player_form
defensive_actions_per90_sum_5|key_passes_per90_sum_5|rating_mean_5|recent_minutes_sum_5|shots_per90_sum_5|starters_without_full_window|starters_without_history,legacy_player_form,scotland,2024-25,2020-21;2021-22;2022-23;2023-24,894,227,7,0.9782870958158992,0.5813086959897179,0.5418502202643172,0.9708563441267432,0.5766148793072842,0.007430751689156,0.0046938166824337,legacy_player_form
defensive_actions_per90_sum_5|key_passes_per90_sum_5|rating_mean_5|recent_minutes_sum_5|shots_per90_sum_5|starters_without_full_window|starters_without_history,legacy_player_form,turkey,2024-25,2020-21;2021-22;2022-23;2023-24,1295,269,7,0.949028302071479,0.56197289908144,0.550185873605948,0.9536273475763216,0.5662048951342988,-0.0045990455048426,-0.0042319960528588,legacy_player_form
attack_goal_rate_ewm|defence_goal_rate_ewm|elo_difference|elo_expected_result|elo_rating|expected_goals_strength|opponent_elo_rating|prior_team_matches,team_strength,belgium,2022-23,2020-21;2021-22,569,304,8,1.0607342553026866,0.6204225309738949,0.5361842105263158,0.9758098098409258,0.5785987465121714,0.08492444546176081,0.04182378446172352,team_strength
attack_goal_rate_ewm|defence_goal_rate_ewm|elo_difference|elo_expected_result|elo_rating|expected_goals_strength|opponent_elo_rating|prior_team_matches,team_strength,netherlands,2022-23,2020-21;2021-22,562,288,8,1.4616000852255964,0.7726767322506086,0.4513888888888889,0.9424312896770637,0.55917490524905,0.5191687955485327,0.21350182700155862,team_strength
attack_goal_rate_ewm|defence_goal_rate_ewm|elo_difference|elo_expected_result|elo_rating|expected_goals_strength|opponent_elo_rating|prior_team_matches,team_strength,portugal,2022-23,2020-21;2021-22,477,240,8,1.0029865914356704,0.5833675888548367,0.5375,0.9264125568843918,0.5413254644388367,0.07657403455127854,0.04204212441600008,team_strength
attack_goal_rate_ewm|defence_goal_rate_ewm|elo_difference|elo_expected_result|elo_rating|expected_goals_strength|opponent_elo_rating|prior_team_matches,team_strength,scotland,2022-23,2020-21;2021-22,456,226,8,0.9187275331767174,0.5406977227376976,0.5973451327433629,0.8922513432577722,0.5209108259524217,0.02647618991894518,0.019786896785275898,team_strength
attack_goal_rate_ewm|defence_goal_rate_ewm|elo_difference|elo_expected_result|elo_rating|expected_goals_strength|opponent_elo_rating|prior_team_matches,team_strength,turkey,2022-23,2020-21;2021-22,679,277,8,1.1842914029448621,0.6460031122891774,0.5379061371841155,1.0109009899979697,0.6040234982906969,0.1733904129468924,0.04197961399848049,team_strength
attack_goal_rate_ewm|defence_goal_rate_ewm|elo_difference|elo_expected_result|elo_rating|expected_goals_strength|opponent_elo_rating|prior_team_matches,team_strength,belgium,2023-24,2020-21;2021-22;2022-23,873,312,8,1.1530639460912435,0.6324547155636313,0.5160256410256411,1.0013902654798221,0.5968977069661953,0.1516736806114214,0.035557008597436046,team_strength
attack_goal_rate_ewm|defence_goal_rate_ewm|elo_difference|elo_expected_result|elo_rating|expected_goals_strength|opponent_elo_rating|prior_team_matches,team_strength,netherlands,2023-24,2020-21;2021-22;2022-23,850,306,8,0.9308389470824688,0.5532303239013113,0.5522875816993464,0.9362458767235576,0.5558519147774328,-0.005406929641088798,-0.00262159087612146,team_strength
