seed,step,action,feature,feature_count,equal_league_log_loss_delta,leagues_improved,worst_league_log_loss_delta,accepted
lineup_continuity,1,add,key_passes_per90_lineup_mean_3,8,-0.00394213931187728,2,0.0028389549195216857,True
lineup_continuity,1,add,key_passes_per90_lineup_mean_ewm,8,-0.0034447470734931818,3,0.0018010469355529413,False
lineup_continuity,1,add,key_passes_per90_sum_5,8,-0.0032689004443074545,2,0.003321973148621371,False
lineup_continuity,1,add,adjusted_key_passes_lineup_mean_3,8,-0.0030593967926955345,3,0.0036991636547240025,False
lineup_continuity,1,add,adjusted_key_passes_lineup_mean_ewm,8,-0.002686974049553914,2,0.0017749497198733533,False
lineup_continuity,1,add,adjusted_key_passes_lineup_mean_5,8,-0.0024212166079345286,3,0.0032532213693714507,False
lineup_continuity,1,add,mid_adjusted_key_passes_5,8,-0.0017934601934638471,3,0.0027866240145331123,False
lineup_continuity,1,add,adjusted_key_passes_lineup_mean_1,8,-0.0017085775329588105,3,0.004709453806214903,False
lineup_continuity,1,add,shots_per90_sum_5,8,-0.0016027645815562598,2,0.003182970628539561,False
lineup_continuity,1,add,gk_saves_per90_5,8,-0.0016023903495332892,2,0.0022736678993177106,False
lineup_continuity,1,remove,retained_starters,6,-0.0015857996351830606,3,0.0023353277621256385,False
lineup_continuity,1,add,shots_per90_lineup_mean_ewm,8,-0.0015468525823942203,2,0.0032127925332245955,False
lineup_continuity,1,remove,new_starters,6,-0.0015174092387535642,3,0.0027023846290499254,False
lineup_continuity,1,add,key_passes_per90_lineup_mean_1,8,-0.001505455278628931,3,0.006302508108220195,False
lineup_continuity,1,add,adjusted_key_passes_lineup_mean_std_5,8,-0.0014358988770258652,3,0.0022071823318441375,False
lineup_continuity,1,remove,replacement_quality,6,-0.0014294587868318054,3,0.002405708245411642,False
lineup_continuity,1,remove,mean_pairwise_prior_starts,6,-0.0014030461669955808,3,0.0029694353673638263,False
lineup_continuity,1,add,adjusted_shots_lineup_mean_5,8,-0.0013627125307862364,3,0.002986667845607416,False
lineup_continuity,1,remove,mean_pairwise_prior_minutes,6,-0.0012693444282784183,3,0.0029242899323188576,False
lineup_continuity,1,add,adjusted_shots_lineup_mean_1,8,-0.0011971157554468092,3,0.003377244014799219,False
lineup_continuity,1,add,adjusted_shots_lineup_mean_ewm,8,-0.0011886709073868572,2,0.0026112010955987586,False
lineup_continuity,1,add,mid_rating_mean_5,8,-0.0011779803608536587,2,0.001574137230514694,False
lineup_continuity,1,add,rating_lineup_std_across_starters_5,8,-0.0011006247006114301,3,0.004669667268190958,False
lineup_continuity,1,remove,new_player_pairs,6,-0.0010756211833410577,3,0.0030209291811185146,False
lineup_continuity,1,add,rating_lineup_min_5,8,-0.001073454000999452,3,0.004668415793112279,False
lineup_continuity,1,remove,missing_regular_starters,6,-0.0010725801092284827,3,0.0017972107378376734,False
lineup_continuity,1,add,rating_lineup_mean_trend_1_5,8,-0.001049443410902029,2,0.002360720659917548,False
lineup_continuity,1,add,adjusted_shots_lineup_std_across_starters_5,8,-0.0010163818249916857,2,0.0014763934008081847,False
lineup_continuity,1,add,gk_count,8,-0.0010011243798693226,3,0.0026463785444761356,False
lineup_continuity,1,add,shots_per90_lineup_mean_1,8,-0.0009773905199376375,3,0.004160052221043542,False
lineup_continuity,1,add,shots_per90_lineup_mean_3,8,-0.0009587772712632336,2,0.0034585822675006206,False
lineup_continuity,1,add,adjusted_shots_lineup_mean_3,8,-0.0008803015175486539,3,0.0031176522678793006,False
lineup_continuity,1,add,adjusted_rating_lineup_mean_trend_1_5,8,-0.0007592795704842725,2,0.0027928299023409764,False
lineup_continuity,1,add,adjusted_shots_lineup_mean_trend_1_5,8,-0.0007199201675285982,3,0.003980334069697333,False
lineup_continuity,1,add,shots_per90_lineup_mean_trend_1_5,8,-0.0006102990162325961,3,0.003924767833786369,False
lineup_continuity,1,add,adjusted_shots_lineup_mean_std_5,8,-0.000584342682139738,2,0.0035207473149547752,False
lineup_continuity,1,add,adjusted_rating_lineup_mean_ewm,8,-0.0005627459793988487,3,0.004888634336189801,False
lineup_continuity,1,add,adjusted_rating_lineup_mean_1,8,-0.0005419130545280427,2,0.0032710926338687107,False
lineup_continuity,1,add,rating_lineup_mean_ewm,8,-0.0005389145336853085,2,0.002942596929719876,False
lineup_continuity,1,add,def_adjusted_defensive_actions_5,8,-0.0005246527340932783,3,0.004384155248111643,False
