league,validation_season,train_seasons,train_matches,validation_matches,baseline_log_loss,baseline_brier_score,baseline_accuracy
belgium,2022-23,2020-21;2021-22,569,304,0.9758098098409258,0.5785987465121714,0.5230263157894737
netherlands,2022-23,2020-21;2021-22,562,288,0.9424312896770637,0.55917490524905,0.5763888888888888
portugal,2022-23,2020-21;2021-22,477,240,0.9264125568843918,0.5413254644388367,0.5458333333333333
scotland,2022-23,2020-21;2021-22,456,226,0.8922513432577722,0.5209108259524217,0.6150442477876106
turkey,2022-23,2020-21;2021-22,679,277,1.0109009899979697,0.6040234982906969,0.51985559566787
belgium,2023-24,2020-21;2021-22;2022-23,873,312,1.0013902654798221,0.5968977069661953,0.5128205128205128
netherlands,2023-24,2020-21;2021-22;2022-23,850,306,0.9362458767235576,0.5558519147774328,0.5620915032679739
portugal,2023-24,2020-21;2021-22;2022-23,717,64,0.8504730910418652,0.4909985983368065,0.65625
scotland,2023-24,2020-21;2021-22;2022-23,682,212,0.9470891943684686,0.5599571691785574,0.5471698113207547
turkey,2023-24,2020-21;2021-22;2022-23,956,339,0.9877503766288129,0.5866877376266167,0.5132743362831859
belgium,2024-25,2020-21;2021-22;2022-23;2023-24,1185,309,1.0210319063819453,0.6110196844727422,0.49514563106796117
netherlands,2024-25,2020-21;2021-22;2022-23;2023-24,1156,303,0.9733297625102274,0.5815499995050698,0.5247524752475248
portugal,2024-25,2020-21;2021-22;2022-23;2023-24,781,219,0.9784602195399043,0.5819002973102524,0.4794520547945205
scotland,2024-25,2020-21;2021-22;2022-23;2023-24,894,227,0.9708563441267432,0.5766148793072842,0.5330396475770925
turkey,2024-25,2020-21;2021-22;2022-23;2023-24,1295,269,0.9536273475763217,0.5662048951342988,0.5724907063197026
