model,model_label,feature_set,validation_season,train_matches,validation_matches,validation_leagues,base_feature_count,model_column_count,log_loss,brier_score,accuracy
player_form_logistic,Pooled player-form logistic,selected_full,2022-23,2743,1335,5,8,12,0.9302504287871136,0.5464040251129241,0.5714155959462461
player_form_logistic,Pooled player-form logistic,selected_full,2023-24,4078,1233,5,8,12,0.9306531238314246,0.5466316076998607,0.5644275358792108
player_form_logistic,Pooled player-form logistic,selected_full,2024-25,5311,1327,5,8,12,0.9801405749106753,0.5796550123522959,0.5263789461217521
player_form_logistic,Pooled player-form logistic,without_legacy_player_form,2022-23,2743,1335,5,7,11,0.9401620598853807,0.5516630161419075,0.5617320388097384
player_form_logistic,Pooled player-form logistic,without_legacy_player_form,2023-24,4078,1233,5,7,11,0.9379853005381994,0.550598341569384,0.5633976041084539
player_form_logistic,Pooled player-form logistic,without_legacy_player_form,2024-25,5311,1327,5,7,11,0.9807243880579264,0.5810208124788111,0.5299999046341551
player_form_logistic,Pooled player-form logistic,without_team_strength,2022-23,2743,1335,5,3,7,0.9866822391469905,0.5876020522958656,0.5352517498460058
player_form_logistic,Pooled player-form logistic,without_team_strength,2023-24,4078,1233,5,3,7,0.9820662779677203,0.5848223386436598,0.5302570250713537
player_form_logistic,Pooled player-form logistic,without_team_strength,2024-25,5311,1327,5,3,7,1.0167634618139405,0.6069837975857966,0.5053645791327263
player_form_logistic,Pooled player-form logistic,without_opponent_adjusted_form,2022-23,2743,1335,5,7,11,0.9305147226301542,0.546267047938596,0.5722924848635331
player_form_logistic,Pooled player-form logistic,without_opponent_adjusted_form,2023-24,4078,1233,5,7,11,0.9307103289186452,0.546409913072077,0.5675179846750213
player_form_logistic,Pooled player-form logistic,without_opponent_adjusted_form,2024-25,5311,1327,5,7,11,0.9824195150910111,0.5808628979227598,0.5271703498813807
player_form_logistic,Pooled player-form logistic,without_position_and_distribution,2022-23,2743,1335,5,7,11,0.9318281135668155,0.547102406018341,0.5714761908565222
player_form_logistic,Pooled player-form logistic,without_position_and_distribution,2023-24,4078,1233,5,7,11,0.9310052018109951,0.5466115030925072,0.5697269282481264
player_form_logistic,Pooled player-form logistic,without_position_and_distribution,2024-25,5311,1327,5,7,11,0.9802499909661881,0.5797878716583875,0.5302756483007695
market_plus_player_form,Pooled market + player-form logistic,selected_full,2022-23,2743,1335,5,5,9,0.9133502942457203,0.5362447228675441,0.5800494969986759
market_plus_player_form,Pooled market + player-form logistic,selected_full,2023-24,4078,1233,5,5,9,0.90841677705419,0.5340876542990276,0.5774548367582902
market_plus_player_form,Pooled market + player-form logistic,selected_full,2024-25,5311,1327,5,5,9,0.9423062754242151,0.5560352798154066,0.5702366678227289
market_plus_player_form,Pooled market + player-form logistic,without_legacy_player_form,2022-23,2743,1335,5,1,5,0.9141607444410695,0.5367908793850443,0.5796703828474736
market_plus_player_form,Pooled market + player-form logistic,without_legacy_player_form,2023-24,4078,1233,5,1,5,0.9098664705488231,0.5349926770989767,0.5811572381295489
market_plus_player_form,Pooled market + player-form logistic,without_legacy_player_form,2024-25,5311,1327,5,1,5,0.9405456296344713,0.554704493663791,0.5730375229769372
market_plus_player_form,Pooled market + player-form logistic,without_team_strength,2022-23,2743,1335,5,4,8,0.9141647194282105,0.5366590652238528,0.5781310643719507
market_plus_player_form,Pooled market + player-form logistic,without_team_strength,2023-24,4078,1233,5,4,8,0.9095987179866295,0.534478526000559,0.5758484328168763
