model,feature
player_form_logistic,elo_rating
player_form_logistic,opponent_elo_rating
player_form_logistic,elo_difference
player_form_logistic,elo_expected_result
player_form_logistic,attack_goal_rate_ewm
player_form_logistic,defence_goal_rate_ewm
player_form_logistic,expected_goals_strength
player_form_logistic,key_passes_per90_sum_5
player_form_logistic,adjusted_defensive_actions_lineup_mean_5
market_plus_player_form,retained_starters
market_plus_player_form,new_starters
market_plus_player_form,missing_regular_starters
market_plus_player_form,mean_pairwise_prior_starts
market_plus_player_form,mean_pairwise_prior_minutes
market_plus_player_form,new_player_pairs
market_plus_player_form,replacement_quality
player_form_lightgbm,key_passes_per90_sum_5
player_form_lightgbm,shots_per90_sum_5
player_form_lightgbm,defensive_actions_per90_sum_5
player_form_lightgbm,recent_minutes_sum_5
player_form_lightgbm,rating_mean_5
player_form_lightgbm,starters_without_history
player_form_lightgbm,starters_without_full_window
player_form_lightgbm,elo_rating
player_form_lightgbm,opponent_elo_rating
player_form_lightgbm,elo_difference
player_form_lightgbm,elo_expected_result
player_form_lightgbm,prior_team_matches
player_form_lightgbm,attack_goal_rate_ewm
player_form_lightgbm,defence_goal_rate_ewm
player_form_lightgbm,expected_goals_strength
expanded_player_form_lightgbm,elo_rating
expanded_player_form_lightgbm,opponent_elo_rating
expanded_player_form_lightgbm,elo_difference
expanded_player_form_lightgbm,elo_expected_result
expanded_player_form_lightgbm,prior_team_matches
expanded_player_form_lightgbm,attack_goal_rate_ewm
expanded_player_form_lightgbm,expected_goals_strength
expanded_player_form_lightgbm,key_passes_per90_sum_5
expanded_player_form_lightgbm,adjusted_key_passes_lineup_mean_1
