test_season,league,train_matches,total_training_weight,mean_match_weight
2022-23,belgium,569,548.6,0.9641476274165203
2022-23,netherlands,562,548.6,0.9761565836298933
2022-23,portugal,477,548.6,1.150104821802935
2022-23,scotland,456,548.6,1.2030701754385966
2022-23,turkey,679,548.6,0.8079528718703977
2023-24,belgium,873,815.6,0.9342497136311569
2023-24,netherlands,850,815.6,0.959529411764706
2023-24,portugal,717,815.5999999999999,1.1375174337517433
2023-24,scotland,682,815.6000000000001,1.1958944281524928
2023-24,turkey,956,815.6,0.8531380753138076
2024-25,belgium,1185,1062.2,0.8963713080168777
2024-25,netherlands,1156,1062.2,0.9188581314878893
2024-25,portugal,781,1062.2,1.3600512163892446
2024-25,scotland,894,1062.2,1.188143176733781
2024-25,turkey,1295,1062.2,0.8202316602316603
